name,house,intro_season,intro_episode,dth_season,dth_episode,featured_episode_count,icd10_cause_text,last_season,last_episode,killings_count,killer_name,total_dialogues_count,episode_1,episode_2,episode_3,episode_4,episode_5,episode_6,episode_7,episode_8,episode_9,episode_10,episode_11,episode_12,episode_13,episode_14,episode_15,episode_16,episode_17,episode_18,episode_19,episode_20,episode_21,episode_22,episode_23,episode_24,episode_25,episode_26,episode_27,episode_28,episode_29,episode_30,episode_31,episode_32,episode_33,episode_34,episode_35,episode_36,episode_37,episode_38,episode_39,episode_40,episode_41,episode_42,episode_43,episode_44,episode_45,episode_46,episode_47,episode_48,episode_49,episode_50,episode_51,episode_52,episode_53,episode_54,episode_55,episode_56,episode_57,episode_58,episode_59,episode_60,episode_61,episode_62,episode_63,episode_64,episode_65,episode_66,episode_67,episode_68,episode_69,episode_70,episode_71,episode_72,episode_73
Alliser Thorne,Night's Watch,1,3,6,53,19,Execution,6,53,3,Jon Snow,97,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arya Stark,Stark,1,1,,,59,,8,73,69,,783,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Brienne of Tarth,Kingsguard,2,13,,,42,,8,73,13,,370,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
Cersei Lannister,Lannister,1,1,8,72,61,Suicide,8,73,199,Daenerys Targaryen,1005,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Davos Seaworth,Baratheon,2,11,,,42,,8,73,,,528,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gregor Clegane,Clegane,1,4,8,72,24,Murder,8,72,10,Sandor Clegane,10,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0
Janos Slynt,Night's Watch,1,4,5,43,15,Execution,5,43,1,Jon Snow,70,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaqen H'ghar,Faceless Men,1,10,,,18,,6,58,3,,114,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Snow,Stark,1,1,5,49,63,Treason,8,73,51,Olly,1133,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jorah Mormont,Targaryen,1,1,8,70,51,Battle,8,71,13,a wight,402,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
